Symbol,C_Price,Count,Quantity,Market,Cost,Price,Prof
AAPL,289.02,2.0,200.0,57804.0,-76700.0,219.5,134504.0
ALC.SW,50.94,3.0,0.0,0.0,476.0,36.800000000000004,-476.0
AMS.SW,12.57,5.0,37500.0,471375.0,521200.0,19.380000000000003,-49825.0
AMZN,2287.95,3.0,50.0,114397.5,-88590.0,1499.3333333333333,202987.5
ARYN.SW,0.3892,1.0,120000.0,46704.0,106800.0,0.89,-60096.0
AUTN.SW,85.05,1.0,1000.0,85050.0,95000.0,95.0,-9950.0
BABA,194.47,2.0,600.0,116682.0,109800.0,183.0,6882.0
BIDU,96.05,2.0,1000.0,96050.0,187600.0,175.0,-91550.0
BSLN.SW,48.6,1.0,2000.0,97200.0,156000.0,78.0,-58800.0
DAI.F,31.2,1.0,2500.0,78000.0,121000.0,48.4,-43000.0
GLEN.L,139.78,2.0,0.0,0.0,-2800000.0,235.0,2800000.0
GOOGL,1320.88,2.0,100.0,132088.0,-24200.0,757.0,156288.0
LHA.DE,8.158,2.0,10500.0,85659.0,170250.0,15.95,-84591.0
LISN.SW,80800.0,1.0,1.0,80800.0,18000.0,18000.0,62800.0
NESN.SW,101.9,5.0,0.0,0.0,-119120.0,93.4,119120.0
NOVN.SW,82.26,1.0,1700.0,139842.0,144500.0,85.0,-4658.0
OERL.SW,7.23,2.0,20000.0,144600.0,209000.0,10.0,-64400.0
OXY,15.215,1.0,10000.0,152150.0,107000.0,10.7,45150.0
PBB.DE,6.715,2.0,0.0,0.0,-9000.0,10.100000000000001,9000.0
ROG.SW,335.45,1.0,600.0,201270.0,167400.0,279.0,33870.0
TEMN.SW,125.6,1.0,500.0,62800.0,73000.0,146.0,-10200.0
TRXC,0.4198,6.0,0.0,0.0,141950.0,1.3366666666666667,-141950.0
UHRN.SW,37.58,1.0,2000.0,75160.0,200000.0,100.0,-124840.0
XRX,16.9925,1.0,6000.0,101955.0,97200.0,16.2,4755.0
ZSUM,86094.41949999997,49.0,216251.0,2339586.5,-491434.0,22114.99,2831020.5
